commodity,date,qty
Powder,2/10/2016,0
Nut,2/10/2016,2345.112
Not Available,2/10/2016,0
Default,2/10/2016,0
Dip,2/10/2016,0
Candy,2/10/2016,0
BreadCrumb,2/10/2016,0
Instant,2/10/2016,0
Nut,2/11/2016,603.332
Tobacco,2/11/2016,0
Supplement,2/11/2016,0
Powder,2/11/2016,0
Not Available,2/11/2016,0
Default,2/11/2016,0
Dip,2/11/2016,0
Candy,2/11/2016,0
BreadCrumb,2/11/2016,0
Instant,2/11/2016,0
Tobacco,2/12/2016,0
Supplement,2/12/2016,0
Powder,2/12/2016,0
Nut,2/12/2016,828.024
Not Available,2/12/2016,0
Dip,2/12/2016,0
Default,2/12/2016,0
Candy,2/12/2016,0
BreadCrumb,2/12/2016,0
Instant,2/12/2016,0
Dip,2/13/2016,0
BreadCrumb,2/13/2016,0
Candy,2/13/2016,0
Default,2/13/2016,0
Powder,2/13/2016,0
Instant,2/13/2016,0
Not Available,2/13/2016,0
Tobacco,2/13/2016,0
Supplement,2/13/2016,0
Nut,2/13/2016,2096.644
Tobacco,2/14/2016,0
Supplement,2/14/2016,0
Powder,2/14/2016,0
Nut,2/14/2016,0
Not Available,2/14/2016,0
Instant,2/14/2016,0
Dip,2/14/2016,0
Default,2/14/2016,0
Candy,2/14/2016,0
BreadCrumb,2/14/2016,0
Tobacco,2/15/2016,0
Supplement,2/15/2016,0
Powder,2/15/2016,0
Nut,2/15/2016,758.032
Not Available,2/15/2016,0
BreadCrumb,2/15/2016,0
Dip,2/15/2016,0
Default,2/15/2016,0
Candy,2/15/2016,0
Instant,2/15/2016,0
Candy,2/16/2016,0
BreadCrumb,2/16/2016,0
Default,2/16/2016,0
Powder,2/16/2016,0
Instant,2/16/2016,0
Dip,2/16/2016,0
Tobacco,2/16/2016,0
Supplement,2/16/2016,0
Nut,2/16/2016,940.744
Not Available,2/16/2016,0
BreadCrumb,2/17/2016,185.08
Candy,2/17/2016,0
Dip,2/17/2016,0
Instant,2/17/2016,0
Not Available,2/17/2016,0
Tobacco,2/17/2016,0
Nut,2/17/2016,850.932
Powder,2/17/2016,0
Supplement,2/17/2016,114.048
Default,2/17/2016,0
BreadCrumb,2/18/2016,0
Candy,2/18/2016,0
Default,2/18/2016,0
Dip,2/18/2016,0
Instant,2/18/2016,0
Not Available,2/18/2016,0
Nut,2/18/2016,645.28
Powder,2/18/2016,0
Supplement,2/18/2016,0
Tobacco,2/18/2016,0
Dip,2/19/2016,0
Tobacco,2/19/2016,0
Supplement,2/19/2016,31.824
Powder,2/19/2016,0
Nut,2/19/2016,2144.092
Not Available,2/19/2016,0
Candy,2/19/2016,0
Default,2/19/2016,0
BreadCrumb,2/19/2016,166.32
Instant,2/19/2016,0
Candy,2/20/2016,0
Default,2/20/2016,0
Supplement,2/20/2016,0
Dip,2/20/2016,0
Not Available,2/20/2016,0
BreadCrumb,2/20/2016,0
Instant,2/20/2016,0
Tobacco,2/20/2016,0
Powder,2/20/2016,0
Nut,2/20/2016,0
Candy,2/21/2016,0
Tobacco,2/21/2016,0
Supplement,2/21/2016,0
Powder,2/21/2016,0
Nut,2/21/2016,0
Not Available,2/21/2016,0
Instant,2/21/2016,0
Dip,2/21/2016,0
