Model,test_mse,test_rmse,Type,epochs,key,look_back,ip_units,stacked_units,batch_size
mlp_model,0.975206201,0.987525291,BreadCrumb,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.975206201,0.987525291,BreadCrumb,200,mlp_model_epochs_200_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.975223622,0.987534112,BreadCrumb,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.975223622,0.987534112,BreadCrumb,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.975328272,0.987587096,BreadCrumb,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.975328272,0.987587096,BreadCrumb,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
lstm_model,0.975531726,0.987690096,BreadCrumb,600,lstm_model_epochs_600_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,0.975818694,0.987835358,BreadCrumb,100,lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
mlp_model,0.308593125,0.555511588,Candy,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.308593125,0.555511588,Candy,50,mlp_model_epochs_50_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.308736662,0.555640767,Candy,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.308736662,0.555640767,Candy,100,mlp_model_epochs_100_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.308737629,0.555641638,Candy,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
mlp_model,0.308737629,0.555641638,Candy,25,mlp_model_epochs_25_look_back_1_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,1,12,0,4
lstm_model,0.308949136,0.555831931,Candy,50,lstm_model_epochs_50_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,0.308964422,0.555845682,Candy,100,lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,0.308965323,0.555846493,Candy,100,timestep_lstm_model_epochs_100_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
lstm_model,0.309000878,0.555878474,Candy,200,lstm_model_epochs_200_look_back_1_batch_size_4_stacked_units_[4]_op_units_1,1,0,4,4
timestep_lstm_model,0.005589704,0.07476432,Dip,300,timestep_lstm_model_epochs_300_look_back_30_batch_size_4_stacked_units_[4]_op_units_1,30,0,4,4
mlp_model,0.007340507,0.085676759,Dip,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30,12,0,4
mlp_model,0.007340507,0.085676759,Dip,50,mlp_model_epochs_50_look_back_30_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,30,12,0,4
mlp_model,0.00734635,0.085710852,Dip,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10,12,0,4
mlp_model,0.00734635,0.085710852,Dip,25,mlp_model_epochs_25_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10,12,0,4
mlp_model,0.007668404,0.087569423,Dip,100,mlp_model_epochs_100_look_back_10_batch_size_4_ip_units_12_hidden_units_[8]_op_units_1,10,12,0,4
